World -> Phone
-0.389811 -1.00055 0.333962
-0.384993 -0.995698 0.343042
-0.390486 -0.985459 0.349634
-0.387884 -0.982417 0.353466
-0.384305 -0.982032 0.355943
-0.384003 -0.978479 0.353563
-0.381273 -0.97804 0.353829
-0.379209 -0.978153 0.356029
-0.37788 -0.977595 0.35595
-0.375338 -0.978346 0.355236
-0.37544 -0.977709 0.356069
-0.398619 -0.967932 0.404998
-0.403459 -0.989798 0.402683
-0.316215 -1.05476 0.557094
-0.307398 -0.909739 0.531706
-0.199473 -0.904467 0.503106
-0.227006 -0.895126 0.497101
-0.174239 -0.968366 0.282828
-0.15653 -0.956954 0.293144
-0.148216 -0.94838 0.297451
-0.153303 -0.941516 0.305578
-0.147527 -0.939396 0.311229
-0.141669 -0.939513 0.314607
-0.141331 -0.941579 0.317384
-0.133047 -0.930653 0.323094
-0.13186 -0.922435 0.326937
-0.131604 -0.920987 0.328952
-0.131218 -0.919522 0.333018
-0.135199 -0.921478 0.335079
-0.135608 -0.922428 0.336664
-0.137166 -0.924345 0.338003
-0.138652 -0.924817 0.339426
-0.14215 -0.921666 0.349513
-0.0340253 -1.47395 0.190931
-0.0287426 -1.47328 0.197889
-0.0277613 -1.47143 0.199641
-0.0260235 -1.46754 0.202162
-0.0246743 -1.46565 0.202258
0.00233457 -1.21377 0.397138
-0.163189 -1.08521 0.193321
-0.0136074 -1.05718 0.235159
0.00659624 -1.05676 0.240356
0.0206979 -1.04026 0.247784
0.0277138 -1.0273 0.25179
0.0294938 -1.01339 0.254754
0.0306654 -1.0041 0.25772
0.0287084 -0.99583 0.261821
0.0259095 -0.990341 0.264111
0.0246068 -0.987795 0.266468
-0.222932 -0.911564 0.910379
-0.216708 -0.910917 0.903682
-0.167295 -1.01983 0.899511
-0.102298 -1.20351 0.885758
-0.0387335 -1.29809 0.938841
-0.26835 -0.994864 1.0769
-0.141149 -1.21517 1.39162
-0.136878 -1.21023 1.37263
0.00443719 -1.38392 1.2864
