World -> tag_1
-0.267579 -0.88942 0.235324
-0.267579 -0.88942 0.235324
-0.239129 -0.919446 0.172843
-0.237002 -0.9214 0.165028
-0.237048 -0.921395 0.165061
-0.236828 -0.921348 0.164823
-0.236828 -0.921348 0.164823
-0.237122 -0.921366 0.165033
-0.237506 -0.921343 0.16521
-0.237241 -0.921296 0.164788
-0.237143 -0.921307 0.164654
-0.236143 -0.921232 0.163942
-0.285516 -0.91214 0.216008
-0.285516 -0.91214 0.216008
-0.267215 -0.923913 0.197029
-0.317348 -0.903264 0.439058
-0.188364 -0.86083 0.402619
-0.163239 -0.987566 0.211905
-0.141233 -1.01817 0.161033
-0.143174 -1.01842 0.162414
-0.144208 -1.01836 0.163044
-0.144432 -1.01829 0.163106
-0.14432 -1.0183 0.162861
-0.14432 -1.0183 0.162861
-0.144479 -1.0183 0.163004
-0.144479 -1.0183 0.163004
-0.144411 -1.01826 0.162943
-0.144411 -1.01826 0.162943
-0.146968 -1.01829 0.165232
-0.144238 -1.01828 0.162766
-0.144213 -1.01827 0.16282
-0.144308 -1.01825 0.162909
-0.144308 -1.01825 0.162909
-0.0391239 -1.09044 0.160196
-0.040407 -1.09032 0.161124
-0.040407 -1.09032 0.161124
-0.0402292 -1.09028 0.160828
-0.0402292 -1.09028 0.160828
-0.0396482 -1.09031 0.160438
-0.272828 -0.977072 0.412759
-0.272828 -0.977072 0.412759
-0.191425 -1.03209 0.164799
-0.191074 -1.03201 0.164382
-0.191746 -1.03197 0.164803
-0.191746 -1.03197 0.164803
-0.191904 -1.03194 0.165063
-0.191904 -1.03194 0.165063
-0.191461 -1.03193 0.164782
-0.191353 -1.03193 0.164571
-0.398086 -1.01172 0.876907
-0.398086 -1.01172 0.876907
-0.40197 -1.02119 0.889963
-0.370168 -1.06304 0.899392
-0.284742 -1.31534 0.891906
-0.341705 -0.928441 0.990549
-0.286859 -1.084 1.09405
-0.262344 -1.10821 1.32457
-0.262344 -1.10821 1.32457
