World -> Phone
-0.468798 -1.52126 1.16304
-0.557818 -1.53092 1.07191
-0.516637 -1.55889 1.13395
-0.49452 -1.57165 1.16969
-0.454821 -1.58681 1.1935
-0.486076 -1.58848 1.20838
-0.506691 -1.58535 1.2104
-0.56742 -1.55776 1.21939
-0.60433 -1.55951 1.26229
-0.673764 -1.51537 1.38474
-0.726566 -1.45428 1.32522
-0.625384 -1.47158 1.29194
-0.674774 -1.47464 1.31908
-0.683884 -1.53919 1.37611
-0.690003 -1.55998 1.39462
-0.693322 -1.5599 1.37627
-0.560502 -1.4823 1.18575
-0.624951 -1.51661 1.25389
-0.631033 -1.50822 1.24777
-0.605627 -1.55318 1.36454
-0.666502 -1.56561 1.44064
-0.889965 -1.54573 1.38706
-0.655411 -1.56763 1.36574
-0.562853 -1.58388 1.35966
-0.584997 -1.59272 1.37259
-0.60608 -1.59346 1.37604
-0.608077 -1.5851 1.38084
-0.723814 -1.5053 1.13678
-0.430725 -1.65013 1.29118
-0.430159 -1.64986 1.30229
-0.437332 -1.64643 1.29673
-0.444734 -1.64276 1.28745
-0.456058 -1.63009 1.28406
-0.535559 -1.56357 1.29861
-0.531784 -1.57711 1.30779
-0.541781 -1.57601 1.31702
-0.523034 -1.55881 1.30648
-0.593849 -1.52959 1.30639
-0.616775 -1.51179 1.31705
-0.607528 -1.52574 1.31388
-0.604353 -1.52649 1.31339
-0.689742 -1.51148 1.42974
-0.523396 -1.51477 1.40818
-0.536587 -1.51535 1.40828
-0.61668 -1.5455 1.65173
-0.64998 -1.54719 1.60723
-0.531531 -1.52194 1.33781
-0.55116 -1.51433 1.33692
-0.284034 -1.6413 1.33387
-0.309566 -1.6434 1.34534
-0.314697 -1.64805 1.3452
-0.330943 -1.64389 1.35023
-0.528451 -1.57403 1.36389
-0.607378 -1.58397 1.33487
-0.699411 -1.47859 1.31062
-0.541318 -1.36672 1.28775
-0.47627 -1.55002 1.40797
-0.475326 -1.55894 1.40253
-0.48565 -1.55985 1.41116
-0.491738 -1.55964 1.41077
-0.482684 -1.5604 1.40353
-0.480864 -1.5596 1.39687
-0.48313 -1.55638 1.38924
