World -> tag_1
-0.358351 -1.49144 1.095
-0.358351 -1.49144 1.095
-0.358351 -1.49144 1.095
-0.360772 -1.5154 1.13553
-0.360772 -1.5154 1.13553
-0.360772 -1.5154 1.13553
-0.360772 -1.5154 1.13553
-0.360772 -1.5154 1.13553
-0.360772 -1.5154 1.13553
-0.646882 -1.48035 1.34061
-0.646882 -1.48035 1.34061
-0.646882 -1.48035 1.34061
-0.646882 -1.48035 1.34061
-0.646882 -1.48035 1.34061
-0.646882 -1.48035 1.34061
-0.669386 -1.49975 1.38308
-0.669386 -1.49975 1.38308
-0.669386 -1.49975 1.38308
-0.669386 -1.49975 1.38308
-0.669386 -1.49975 1.38308
-0.669386 -1.49975 1.38308
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.784858 -1.48464 1.32149
-0.372547 -1.60776 1.23641
-0.372547 -1.60776 1.23641
-0.378522 -1.60934 1.2536
-0.378522 -1.60934 1.2536
-0.389653 -1.60497 1.24478
-0.389653 -1.60497 1.24478
-0.389653 -1.60497 1.24478
-0.473193 -1.53862 1.26623
-0.473193 -1.53862 1.26623
-0.487642 -1.5374 1.27421
-0.487642 -1.5374 1.27421
-0.487642 -1.5374 1.27421
-0.487642 -1.5374 1.27421
-0.487642 -1.5374 1.27421
-0.442826 -1.53206 1.35917
-0.442826 -1.53206 1.35917
-0.442826 -1.53206 1.35917
-0.442826 -1.53206 1.35917
-0.442826 -1.53206 1.35917
-0.442826 -1.53206 1.35917
-0.354419 -1.54173 1.30657
-0.354419 -1.54173 1.30657
-0.354419 -1.54173 1.30657
-0.354419 -1.54173 1.30657
-0.354419 -1.54173 1.30657
-0.354419 -1.54173 1.30657
-0.434998 -1.55419 1.30642
-0.434998 -1.55419 1.30642
-0.510948 -1.5588 1.29522
-0.510948 -1.5588 1.29522
-0.510948 -1.5588 1.29522
-0.510948 -1.5588 1.29522
-0.459149 -1.554 1.34012
-0.459149 -1.554 1.34012
-0.445735 -1.55658 1.33154
