World -> Phone
-0.596503 -0.794151 1.5369
-0.496688 -0.768819 1.52282
-0.424006 -0.738287 1.52326
-0.272046 -0.743968 1.52801
-0.154383 -0.748748 1.48911
0.00657431 -0.737319 1.47357
0.142024 -0.776235 1.48318
0.226255 -0.719708 1.47491
0.366177 -0.687106 1.46319
0.583988 -0.643367 1.45787
0.741944 -0.595947 1.41732
0.821888 -0.579646 1.45016
1.05824 -0.509136 1.40942
1.16324 -0.486862 1.42709
1.27466 -0.465262 1.39216
1.46797 -0.435157 1.38406
1.61454 -0.419546 1.38376
1.75442 -0.356073 1.36533
1.83988 -0.333031 1.386
1.96158 -0.27608 1.38298
2.02333 -0.268873 1.39106
2.18913 -0.201838 1.34771
2.20641 -0.229016 1.31708
2.32328 -0.211105 1.27682
2.62425 -0.125253 1.24825
2.76795 -0.0588875 1.24264
3.0946 -0.00932115 1.30753
3.1208 -0.0259175 1.31228
3.18815 -0.00176353 1.34124
3.23718 0.0559633 1.36485
3.60097 0.19207 1.3971
3.94611 0.400958 1.34702
